Product_URL,Category,Product_ID,Extracted_At
https://chefaa.com:443/eg-ar/nowProduct/kly-jelly-gel-42--gmKL1J,sexual-welness,sexual-welness_0040,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/kly-jelly-gel-82-gmYeVo,sexual-welness,sexual-welness_0041,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/one-touch-condom-strawberry-3pcs-pc3x_duv0tyNy,sexual-welness,sexual-welness_0042,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/one-touch-maxx-dot-condom-3pcs-ffq2_dumPmD2A,sexual-welness,sexual-welness_0043,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/onetouch-mixx-3-condom-3pcs-f8py,sexual-welness,sexual-welness_0044,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/oview-ovulation-test,sexual-welness,sexual-welness_0045,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/silden-50mg-4tab-pbod,sexual-welness,sexual-welness_0046,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/simplex-black-condom-deluxe-3pcs-2tg1,sexual-welness,sexual-welness_0047,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/simplex-black-condom-long-love-3pcs-wec4,sexual-welness,sexual-welness_0048,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/simplex-black-condom-super-safe-3pcs-94ow,sexual-welness,sexual-welness_0049,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/simplex-black-condom-with-banana-3pcs-0gbo,sexual-welness,sexual-welness_0050,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/simplex-black-condom-with-choco-3pcs-nbtn,sexual-welness,sexual-welness_0051,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/simplex-black-condom-with-mint-3pcs-oduj,sexual-welness,sexual-welness_0052,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/simplex-black-condom-with-orange-3pcs-jkou,sexual-welness,sexual-welness_0053,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/simplex-black-condom-with-strawberry-3pcs-yasw,sexual-welness,sexual-welness_0054,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/simplex-black-lychee-condom-3pcs-acde,sexual-welness,sexual-welness_0055,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/simplex-black-mango-condom-3pcs-lza5,sexual-welness,sexual-welness_0056,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/simplex-black-panther-condom-3pcs-ltkg,sexual-welness,sexual-welness_0057,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/simplex-black-stallion-condom-3pcs-xdm8,sexual-welness,sexual-welness_0058,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/simplex-black-super-thin-condom-3pcs-ai6d,sexual-welness,sexual-welness_0059,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/surecheck-pregnancy-test,sexual-welness,sexual-welness_0060,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/trib-gold-30-caps-d58n,sexual-welness,sexual-welness_0061,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/ultra-rabbed-3-condomsylSL,sexual-welness,sexual-welness_0062,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/varde-20mg-4tab-kmuz,sexual-welness,sexual-welness_0063,2025-07-04T00:10:14.048118
https://chefaa.com:443/eg-ar/nowProduct/vardenorect-20mg-8tab-vus5,sexual-welness,sexual-welness_0064,2025-07-04T00:10:14.048118
